Project,Skills,Description,Link
Cyber Abuse Detection using Machine Learning,"Python, Machine Learning, NLP, Scikit-learn, Pandas, Streamlit","Developed a machine learning model to detect abusive comments in Roman Urdu using NLP preprocessing, TF-IDF, and classification algorithms.","Coming Soon"
AI Cold Email Generator,"Python, LangChain, Gemini API, ChromaDB, Streamlit","Built an AI-powered cold email generator that matches job descriptions with portfolio projects and generates personalized emails.","Coming Soon"
Hospital Management System,"Java, MySQL, OOP","Developed a desktop application for managing patients, doctors, appointments, billing, and reports.","Coming Soon"
Library Management System,"Java, OOP","Designed a desktop system for managing books, members, issue/return records, and fines.","Coming Soon"
Task Scheduler,"Java, Data Structures, Priority Queue","Implemented a task scheduling application using priority queues for efficient task execution.","Coming Soon"
Automated Backup System,"Python, File Handling","Built a Python utility to automatically back up important files and folders.","Coming Soon"
IoT Smart Home Controller,"Arduino, IoT, C++","Developed an IoT-based smart home automation system using Arduino and sensors.","Coming Soon"
Portfolio Website,"HTML, CSS, JavaScript","Created a responsive personal portfolio website to showcase projects and technical skills.","Coming Soon"
Roman Urdu Text Preprocessing,"Python, NLP, Regex","Developed a preprocessing pipeline for Roman Urdu text including cleaning, normalization, and stop-word removal.","Coming Soon"
Text Classification Model,"Python, Scikit-learn, TF-IDF","Trained multiple machine learning models for text classification using TF-IDF features.","Coming Soon"
Email Spam Detection,"Python, Machine Learning","Built a spam email classifier using NLP techniques and supervised machine learning.","Coming Soon"
Network Security Lab,"Cyber Security, OPNsense, Firewall","Configured firewall rules, NAT, VPN, IDS/IPS, and network security policies using OPNsense.","Coming Soon"
VLAN Network Design,"Cisco Packet Tracer, VLAN, Routing","Designed enterprise networks using VLANs, inter-VLAN routing, DHCP, NAT, and ACLs.","Coming Soon"
Dual ISP Network Simulation,"Networking, Cisco Packet Tracer","Implemented dual ISP redundancy and failover in a simulated enterprise network.","Coming Soon"
Secure Office Network Design,"Networking, Firewall, VLAN","Designed a secure office network with DMZ, guest network isolation, and firewall policies.","Coming Soon"
Chat Application,"Java, Socket Programming","Developed a client-server chat application using Java socket programming.","Coming Soon"
Bank Management System,"Java, OOP","Created a banking application for account management, transactions, and customer records.","Coming Soon"
Student Management System,"Java, MySQL","Developed a student management application with CRUD operations and database integration.","Coming Soon"
Weather App,"Python, API","Built a weather application using REST APIs to display real-time weather information.","Coming Soon"
Password Generator,"Python","Created a secure random password generator with customizable password strength.","Coming Soon"
File Encryption Tool,"Python, Cryptography","Implemented file encryption and decryption using modern cryptographic techniques.","Coming Soon"
Network Packet Analyzer,"Python, Scapy","Developed a packet analysis tool to inspect and analyze network traffic.","Coming Soon"
Vulnerability Scanner,"Python, Cyber Security","Built a basic vulnerability scanner to identify open ports and common security weaknesses.","Coming Soon"
Linux System Monitoring Tool,"Python, Linux","Developed a command-line tool for monitoring CPU, memory, disk usage, and running processes.","Coming Soon"
